series_id,series_denom,archive
1,Secretarías Provinciales (SSP) Legajo 997,Archivo General de Simancas
2,Secretarías Provinciales (SSP) Legajo 998,Archivo General de Simancas
3,Secretarías Provinciales (SSP) Legajo 999,Archivo General de Simancas
4,SecretaríasProvinciales (SSP) Legajo 1000,Archivo General de Simancas
5,Secretarías Provinciales (SSP) Legajo 1001,Archivo General de Simancas
6,Secretarías Provinciales (SSP) Legajo 1002,Archivo General de Simancas
7,Secretarías Provinciales (SSP) Legajo 1003,Archivo General de Simancas
8,Secretarías Provinciales (SSP) Legajo 1004,Archivo General de Simancas
9,Secretarías Provinciales (SSP) Legajo 1005,Archivo General de Simancas
10,Secretarías Provinciales (SSP) Legajo 1006,Archivo General de Simancas
11,Secretarías Provinciales (SSP) Legajo 1007,Archivo General de Simancas
12,Secretarías Provinciales (SSP) Legajo 1008,Archivo General de Simancas
13,Secretarías Provinciales (SSP) Legajo 1009,Archivo General de Simancas
14,Secretarías Provinciales (SSP) Legajo 1010,Archivo General de Simancas
15,Secretarías Provinciales (SSP) Legajo 1011,Archivo General de Simancas
16,Secretarías Provinciales (SSP) Legajo 1012,Archivo General de Simancas
